title,genres,keywords,overview,cast,director,rating,release_year,poster_url,industry,language,media_type
Interstellar,Sci-Fi|Drama|Adventure,space time travel survival,A team travels through a wormhole to find a new home for humanity.,Matthew McConaughey|Anne Hathaway,Christopher Nolan,8.7,2014,
Inception,Sci-Fi|Thriller|Action,dream heist mind,time thief Dom Cobb is offered a chance to erase his past by planting an idea.,Leonardo DiCaprio|Joseph Gordon-Levitt,Christopher Nolan,8.8,2010,
The Prestige,Drama|Mystery|Sci-Fi,magicians rivalry secrets,A pair of rival magicians become obsessed with creating the perfect illusion.,Christian Bale|Hugh Jackman,Christopher Nolan,8.5,2006,
The Martian,Sci-Fi|Drama|Adventure,mars survival science,A stranded astronaut uses science and humor to survive alone on Mars.,Matt Damon|Jessica Chastain,Ridley Scott,8.0,2015,
Arrival,Sci-Fi|Drama|Mystery,aliens language communication,A linguist works to communicate with mysterious visitors from another world.,Amy Adams|Jeremy Renner,Denis Villeneuve,7.9,2016,
Gravity,Sci-Fi|Thriller|Drama,space survival astronaut,An astronaut fights to return home after an accident leaves her alone in orbit.,Sandra Bullock|George Clooney,Alfonso Cuaron,7.7,2013,
Blade Runner 2049,Sci-Fi|Mystery|Drama,robots future identity,A young blade runner discovers a secret that leads him to a former officer.,Ryan Gosling|Harrison Ford,Denis Villeneuve,8.0,2017,
Ex Machina,Sci-Fi|Thriller|Mystery,artificial intelligence robot experiment,A programmer is invited to test an intelligent humanoid robot.,Domhnall Gleeson|Alicia Vikander,Alex Garland,7.7,2014,
The Matrix,Sci-Fi|Action|Adventure,virtual reality hacker rebellion,A hacker learns that reality is a simulated world and joins a rebellion.,Keanu Reeves|Laurence Fishburne,Lana Wachowski,8.7,1999,
The Truman Show,Drama|Comedy|Sci-Fi,television reality identity,A man slowly discovers that his entire life is a television show.,Jim Carrey|Laura Linney,Peter Weir,8.2,1998,
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,memory love heartbreak,A couple undergoes a procedure to erase memories of each other.,Jim Carrey|Kate Winslet,Michel Gondry,8.3,2004,
Shutter Island,Drama|Mystery|Thriller,island detective memory,A marshal investigates a disappearance at a remote hospital and questions reality.,Leonardo DiCaprio|Mark Ruffalo,Martin Scorsese,8.2,2010,
Memento,Mystery|Thriller|Drama,memory investigation revenge,A man with short-term memory loss searches for the person responsible for a crime.,Guy Pearce|Carrie-Anne Moss,Christopher Nolan,8.4,2000,
The Dark Knight,Action|Crime|Drama,hero villain city justice,A masked hero faces a criminal mastermind who throws a city into chaos.,Christian Bale|Heath Ledger,Christopher Nolan,9.0,2008,
Mad Max Fury Road,Action|Adventure|Sci-Fi,desert chase survival rebellion,Survivors flee across a desert while a rebel warrior helps free captives.,Tom Hardy|Charlize Theron,George Miller,8.1,2015,
The Lord of the Rings,Adventure|Fantasy|Drama,quest friendship ring,A small fellowship begins a dangerous journey to destroy a powerful ring.,Elijah Wood|Ian McKellen,Peter Jackson,8.9,2001,
Whiplash,Drama|Music,ambition jazz mentor,A young drummer enters a demanding conservatory led by an intense teacher.,Miles Teller|J.K. Simmons,Damien Chazelle,8.5,2014,
Parasite,Drama|Thriller|Comedy,class family inequality,A struggling family slowly enters the life of a wealthy household.,Song Kang-ho|Park So-dam,Bong Joon-ho,8.5,2019,
The Grand Budapest Hotel,Comedy|Drama|Adventure,hotel friendship art,A concierge and his lobby boy become involved in a valuable painting theft.,Ralph Fiennes|Tony Revolori,Wes Anderson,8.1,2014,
Spider-Man Into the Spider-Verse,Animation|Action|Adventure,hero multiverse friendship,A teenager becomes a hero and meets spider-people from other dimensions.,Shameik Moore|Hailee Steinfeld,Bob Persichetti,8.4,2018,
The Social Network,Drama,technology ambition friendship,The story of the creation of a global social network and its consequences.,Jesse Eisenberg|Andrew Garfield,David Fincher,7.8,2010,
The Imitation Game,Drama|History|Thriller,code war mathematics,A mathematician helps crack a wartime code while facing social prejudice.,Benedict Cumberbatch|Keira Knightley,Morten Tyldum,8.0,2014,
Her,Drama|Romance|Sci-Fi,technology loneliness voice,A lonely writer develops a relationship with an operating system.,Joaquin Phoenix|Amy Adams,Spike Jonze,8.0,2013,
Moneyball,Drama|Sport,baseball data strategy,A baseball manager uses statistics to build a competitive team on a budget.,Brad Pitt|Jonah Hill,Bennett Miller,7.6,2011,
The Shawshank Redemption,Drama|Crime,prison hope friendship,A banker forms an enduring friendship while serving a long prison sentence.,Tim Robbins|Morgan Freeman,Frank Darabont,9.3,1994,
The Godfather,Crime|Drama,family power loyalty,A family leader protects his empire while the next generation takes over.,,,9.2,1972,,Hollywood,English
The Godfather Part II,Crime|Drama,family empire ambition,A rise to power is traced across two generations of an influential family.,,,9.0,1974,,Hollywood,English
Pulp Fiction,Crime|Drama,nonlinear crime fate,Several connected lives collide through a series of dangerous choices.,,,8.9,1994,,Hollywood,English
Fight Club,Drama|Thriller,identity rebellion society,A disillusioned worker finds a radical way to challenge his empty routine.,,,8.8,1999,,Hollywood,English
Forrest Gump,Drama|Romance,friendship history destiny,A kindhearted man witnesses decades of change while pursuing his childhood love.,,,8.8,1994,,Hollywood,English
Goodfellas,Crime|Drama,gangster ambition betrayal,A young man rises through a criminal organization and watches loyalty collapse.,,,8.7,1990,,Hollywood,English
The Departed,Crime|Thriller,undercover police corruption,Two men on opposite sides of the law struggle to expose each other.,,,8.5,2006,,Hollywood,English
The Green Mile,Drama|Fantasy,prison compassion supernatural,A guard encounters a prisoner whose mysterious gift changes everyone around him.,,,8.6,1999,,Hollywood,English
12 Angry Men,Drama|Crime,jury justice doubt,A juror asks his peers to reconsider a seemingly obvious verdict.,,,9.0,1957,,Hollywood,English
Schindlers List,Drama|History|War,holocaust courage humanity,A businessman risks everything to save people during wartime persecution.,,,9.0,1993,,Hollywood,English
The Silence of the Lambs,Crime|Thriller,detective serial killer psychology,A trainee investigator seeks help from an imprisoned criminal to catch a killer.,,,8.6,1991,,Hollywood,English
Saving Private Ryan,War|Drama,soldier rescue sacrifice,A squad crosses a battlefield to bring one soldier home.,,,8.6,1998,,Hollywood,English
The Good the Bad and the Ugly,Western|Adventure,desert treasure rivalry,Three gunslingers compete to find buried gold during a civil war.,,,8.8,1966,,Hollywood,English
The Usual Suspects,Crime|Mystery,deception mystery witness,A survivor recounts the events behind a mysterious criminal plot.,,,8.5,1995,,Hollywood,English
Se7en,Crime|Thriller,detective murder sin,Two detectives hunt a killer whose crimes follow a disturbing pattern.,,,8.6,1995,,Hollywood,English
The Pianist,Drama|War,music survival resilience,A musician struggles to survive the destruction of his city.,,,8.5,2002,,Hollywood,English
The Intouchables,Comedy|Drama,friendship disability healing,An unlikely friendship gives two people a renewed sense of possibility.,,,8.5,2011,,Hollywood,English
The Lion King,Animation|Adventure|Drama,family kingdom courage,A young heir must reclaim his place and face the past.,,,8.5,1994,,Hollywood,English
Back to the Future,Adventure|Comedy|Sci-Fi,time travel family,A teenager travels through time and must restore his future.,,,8.5,1985,,Hollywood,English
Terminator 2 Judgment Day,Action|Sci-Fi,robot future protection,A machine from the future protects a boy from another deadly machine.,,,8.6,1991,,Hollywood,English
The Green Book,Drama|Comedy,music friendship road,A driver and a musician find common ground on a difficult tour.,,,8.2,2018,,Hollywood,English
The Wolf of Wall Street,Comedy|Crime,finance greed excess,A stockbroker builds a lavish empire before law and ambition catch up.,,,8.2,2013,,Hollywood,English
Django Unchained,Western|Drama,revenge slavery bounty,A freed man and a bounty hunter seek justice across the American frontier.,,,8.4,2012,,Hollywood,English
Inglourious Basterds,War|Drama,revenge resistance history,A group of soldiers plans a daring strike against a wartime regime.,,,8.4,2009,,Hollywood,English
The Hateful Eight,Western|Mystery,snow betrayal strangers,Strangers sheltering from a storm suspect one another of hidden motives.,,,7.8,2015,,Hollywood,English
Once Upon a Time in Hollywood,Comedy|Drama,actor stuntman cinema,A fading actor and his stunt double navigate changing Hollywood.,,,7.6,2019,,Hollywood,English
The Shining,Horror|Drama,hotel isolation madness,A writer descends into terror while isolated with his family.,,,8.4,1980,,Hollywood,English
Alien,Horror|Sci-Fi,space creature survival,A commercial crew faces an unknown lifeform aboard a distant ship.,,,8.5,1979,,Hollywood,English
Aliens,Action|Sci-Fi,space marines rescue,A team returns to a colony where something has gone terribly wrong.,,,8.4,1986,,Hollywood,English
The Thing,Horror|Sci-Fi,arctic paranoia creature,Researchers in an isolated station turn against one another when a creature appears.,,,8.2,1982,,Hollywood,English
Get Out,Horror|Mystery,racism family conspiracy,A visitor discovers a disturbing secret behind his hosts hospitality.,,,7.7,2017,,Hollywood,English
A Quiet Place,Horror|Sci-Fi,family survival silence,A family must live silently while creatures hunt by sound.,,,7.5,2018,,Hollywood,English
The Exorcist,Horror,faith possession fear,A family seeks help when a child appears to be controlled by an evil force.,,,8.1,1973,,Hollywood,English
Hereditary,Horror|Drama,family grief supernatural,A family confronts a terrifying legacy after a devastating loss.,,,7.3,2018,,Hollywood,English
